,Date,NO_2
89,2017-03-31,44.708333333333336
90,2017-04-01,25.208333333333332
91,2017-04-02,31.625
92,2017-04-03,41.666666666666664
93,2017-04-04,63.166666666666664
94,2017-04-05,23.458333333333332
95,2017-04-06,33.791666666666664
96,2017-04-07,46.5
97,2017-04-08,56.791666666666664
98,2017-04-09,54.916666666666664
99,2017-04-10,60.166666666666664
100,2017-04-11,71.04166666666667
101,2017-04-12,59.958333333333336
102,2017-04-13,54.708333333333336
103,2017-04-14,39.083333333333336
104,2017-04-15,34.75
105,2017-04-16,24.5
106,2017-04-17,52.5
107,2017-04-18,32.791666666666664
108,2017-04-19,28.333333333333332
109,2017-04-20,35.625
110,2017-04-21,40.791666666666664
111,2017-04-22,51.416666666666664
112,2017-04-23,60.0
113,2017-04-24,60.5
114,2017-04-25,40.083333333333336
115,2017-04-26,26.041666666666668
116,2017-04-27,20.041666666666668
117,2017-04-28,25.958333333333332
118,2017-04-29,37.666666666666664
119,2017-04-30,25.75
120,2017-05-01,22.875
121,2017-05-02,40.875
122,2017-05-03,48.875
123,2017-05-04,76.0
124,2017-05-05,39.875
125,2017-05-06,15.75
126,2017-05-07,37.166666666666664
127,2017-05-08,44.291666666666664
128,2017-05-09,54.583333333333336
129,2017-05-10,21.916666666666668
130,2017-05-11,22.208333333333332
131,2017-05-12,29.208333333333332
132,2017-05-13,18.458333333333332
133,2017-05-14,25.583333333333332
134,2017-05-15,43.125
135,2017-05-16,66.08333333333333
136,2017-05-17,29.916666666666668
137,2017-05-18,39.041666666666664
138,2017-05-19,42.541666666666664
139,2017-05-20,49.833333333333336
140,2017-05-21,45.583333333333336
141,2017-05-22,52.416666666666664
142,2017-05-23,37.208333333333336
143,2017-05-24,53.333333333333336
144,2017-05-25,54.541666666666664
145,2017-05-26,47.041666666666664
146,2017-05-27,42.75
147,2017-05-28,32.083333333333336
148,2017-05-29,21.0
149,2017-05-30,35.833333333333336
150,2017-05-31,50.25
151,2017-06-01,51.166666666666664
152,2017-06-02,56.458333333333336
153,2017-06-03,27.958333333333332
154,2017-06-04,20.708333333333332
155,2017-06-05,27.083333333333332
156,2017-06-06,32.833333333333336
157,2017-06-07,53.541666666666664
158,2017-06-08,53.708333333333336
159,2017-06-09,51.916666666666664
160,2017-06-10,52.958333333333336
161,2017-06-11,48.875
162,2017-06-12,55.458333333333336
163,2017-06-13,42.791666666666664
164,2017-06-14,55.666666666666664
165,2017-06-15,78.58333333333333
166,2017-06-16,65.25
167,2017-06-17,55.166666666666664
168,2017-06-18,32.791666666666664
169,2017-06-19,43.625
170,2017-06-20,44.916666666666664
171,2017-06-21,59.958333333333336
172,2017-06-22,63.916666666666664
173,2017-06-23,36.958333333333336
174,2017-06-24,24.458333333333332
175,2017-06-25,39.375
176,2017-06-26,32.041666666666664
177,2017-06-27,39.458333333333336
178,2017-06-28,19.208333333333332
179,2017-06-29,27.916666666666668
180,2017-06-30,30.416666666666668
181,2017-07-01,12.583333333333334
182,2017-07-02,18.333333333333332
183,2017-07-03,39.083333333333336
184,2017-07-04,45.208333333333336
185,2017-07-05,39.458333333333336
186,2017-07-06,40.333333333333336
187,2017-07-07,39.875
